mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,result_doc_types
Hybrid_RRF,scan document to USB drive,semantic,medium,0.04119157791137695,0.3391602052736161,0.4371994911049732,1.0,0.2,0.4,0.2,0.2,0.20000000000000004,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,setup email notification,semantic,hard,0.0410456657409668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,how to install printer driver,semantic,medium,0.03950667381286621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,wireless connection setup,semantic,medium,0.03772616386413574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,maintenance schedule,keyword,medium,0.037601470947265625,0.48522855511632257,0.48522855511632257,1.0,0.4,0.4,0.4,0.2,0.4000000000000001,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,troubleshoot print quality,semantic,hard,0.03997945785522461,0.7227265726449519,0.7227265726449519,1.0,0.6,0.6,0.6,0.3,0.6,0.4,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,energy saving mode,keyword,easy,0.041365861892700195,0.16958010263680806,0.16958010263680806,0.3333333333333333,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,how to scan multiple pages,semantic,medium,0.039838314056396484,0.16958010263680806,0.16958010263680806,0.3333333333333333,0.2,0.2,0.2,0.1,0.20000000000000004,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,change paper size,keyword,easy,0.040357351303100586,0.3391602052736161,0.45221360703148816,1.0,0.2,0.4,0.2,0.2,0.20000000000000004,0.26666666666666666,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,set up scan to network folder,semantic,hard,0.04357481002807617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,firmware upgrade instructions,semantic,medium,0.04081988334655762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
Hybrid_RRF,default settings,keyword,easy,0.03075098991394043,0.0,0.10699313236726378,0.125,0.0,0.2,0.0,0.1,0.0,0.13333333333333333,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
