mode,query,query_type,difficulty,latency,ndcg@5,ndcg@10,mrr,recall@5,recall@10,precision@5,precision@10,f1@5,f1@10,relevant_count,result_doc_types
Pure_BM25,how to install printer driver,semantic,medium,0.1074070930480957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Pure_BM25,wireless connection setup,semantic,medium,0.08132576942443848,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0,0,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""Academic"", ""TechDocs""]"
Hybrid_RRF,paper jam solution,keyword,easy,0.21027588844299316,0.5620437956204379,0.4808291559409294,0.5,1.0,1.25,0.8,0.5,0.888888888888889,0.7142857142857143,6.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,how to reset the device,semantic,easy,0.21121740341186523,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0,0,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,scan to email,keyword,easy,0.15666961669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""Game"", ""TechDocs"", ""TechDocs"", ""Other"", ""Game"", ""TechDocs"", ""Game"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,replace toner cartridge,keyword,easy,0.20212197303771973,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0,0,1.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,connect printer to wifi network,semantic,medium,0.17720985412597656,0.21897810218978103,0.2621595989703292,0.5,0.3333333333333333,1.0,0.2,0.3,0.25,0.4615384615384615,3.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,software update for printer,semantic,medium,0.13583993911743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,print from mobile phone,semantic,medium,0.1200716495513916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
Hybrid_RRF,troubleshoot print quality,semantic,hard,0.17301177978515625,0.583941605839416,0.455222869529874,1.0,0.6666666666666666,0.6666666666666666,0.4,0.2,0.5,0.30769230769230765,2.0,"[""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs"", ""TechDocs""]"
